,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,molcule_formula,dsgdb_idx,nmr_shift,atomic_number,x,y,z,energy,atom_feature_vector_1,atom_feature_vector_2,atom_feature_vector_3,atom_feature_vector_4,atom_feature_vector_5,atom_feature_vector_6,atom_feature_vector_7,atom_feature_vector_8,atom_feature_vector_9,atom_feature_vector_10,atom_feature_vector_11,atom_feature_vector_12,atom_feature_vector_13,atom_feature_vector_14,atom_feature_vector_15,atom_feature_vector_16,atom_feature_vector_17,atom_feature_vector_18,atom_feature_vector_19,atom_feature_vector_20,atom_feature_vector_21,atom_feature_vector_22,atom_feature_vector_23,atom_feature_vector_24,atom_feature_vector_25,atom_feature_vector_26,atom_feature_vector_27,atom_feature_vector_28,atom_feature_vector_29,atom_feature_vector_30,atom_feature_vector_31,atom_feature_vector_32,atom_feature_vector_33,atom_feature_vector_34,atom_feature_vector_35,atom_feature_vector_36,atom_feature_vector_37,atom_feature_vector_38,atom_feature_vector_39,atom_feature_vector_40,atom_feature_vector_41,atom_feature_vector_42,atom_feature_vector_43,atom_feature_vector_44,atom_feature_vector_45,atom_feature_vector_46,atom_feature_vector_47,atom_feature_vector_48,atom_feature_vector_49,atom_feature_vector_50,atom_feature_vector_51,atom_feature_vector_52,atom_feature_vector_53,atom_feature_vector_54,atom_feature_vector_55,atom_feature_vector_56,atom_feature_vector_57,atom_feature_vector_58,atom_feature_vector_59,atom_feature_vector_60,atom_feature_vector_61,atom_feature_vector_62,atom_feature_vector_63,atom_feature_vector_64
2030,645035,645035,0,0,H14 C7 O2,dsgdb9_102568,173.7394,6.0,-0.2202861756086349,1.769415020942688,0.3378058969974518,-10.21348476409912,0.0732704102993011,-0.041525725275278,0.0755283087491989,0.2689393758773803,-0.1952504962682724,-0.7583762407302856,0.3000261783599853,0.0468443483114242,0.066806711256504,-0.5997948050498962,0.2135512828826904,0.0081555917859077,0.2016175985336303,-0.1735623031854629,-0.0162398591637611,-0.0063601643778383,-0.2649064064025879,-0.2795377969741821,0.1562398821115493,0.3230541050434112,0.3996357023715973,0.0837231129407882,0.0356369540095329,0.1034698411822319,0.0895455777645111,0.07534009963274,0.0927658081054687,0.0076511278748512,0.4041220843791961,-0.0543428659439086,2.746329069137573,-0.1928080320358276,0.4464598298072815,-0.2110920548439026,-0.3167060315608978,-0.1045541763305664,-0.2464697659015655,-0.3746424913406372,0.2399764358997345,-0.0162624809890985,-0.0704291462898254,-0.0150629011914134,0.1331716775894165,-0.0201687216758728,0.2686875164508819,-0.0599476061761379,-0.0690903738141059,-0.0435846522450447,-0.289996862411499,0.0212383214384317,0.1844129711389541,-0.1005727797746658,-0.0034412741661071,0.4013167023658752,0.0218010023236274,-0.0559190548956394,0.1947740912437439,-0.1511129736900329,0.0698718279600143,0.2300709784030914,0.0529234521090984,-0.0776883289217948,-0.0851350501179695,0.216665893793106
4399,696122,696122,2,2,H16 C8 O1,dsgdb9_110099,154.7347,6.0,0.5454514026641846,0.1945376098155975,1.908730745315552,-9.128962516784668,0.0953943282365799,-0.0342406332492828,-0.196401759982109,0.2507251799106598,-0.0178118199110031,-0.1549180448055267,0.3499016165733337,0.1359976977109909,0.1142422929406166,-0.2435862869024276,0.0854150205850601,-0.1752857118844986,0.5579816102981567,0.0494890287518501,-0.0245585739612579,-0.0550578944385051,-0.0346602797508239,-0.4175047278404236,0.0649466216564178,0.3900141417980194,0.4110074639320373,0.1058564111590385,0.0010812059044837,-0.0888382121920585,0.3028017580509186,0.0328861474990844,0.1757653653621673,0.0566135868430137,0.3182993233203888,-0.0393788032233715,1.83853018283844,-0.3862327337265014,0.0630422532558441,-0.123665802180767,-0.2419284582138061,-0.2363751977682113,-0.4006553590297699,-0.4291987717151642,0.2488976418972015,-0.0109372725710272,-0.257693737745285,-0.0184067860245704,-0.1013624668121337,0.0200885981321334,0.2085595577955246,-0.096484325826168,-0.1036549061536789,-0.004880417138338,-0.0985414907336235,-0.1856388449668884,0.1233011931180954,-0.1158927977085113,0.0106699019670486,0.2238869220018386,0.0428770408034324,-0.0455603413283824,0.1110424548387527,-0.2218027114868164,0.0629807487130165,0.1376591026782989,0.0578553378582,-0.1139599978923797,-0.0152321010828018,0.1864561736583709
5059,659455,659455,1,1,H16 C8 O1,dsgdb9_104732,163.2784,6.0,-0.0398791097104549,0.2421694546937942,0.0905219763517379,-9.905908584594728,0.0821529924869537,-0.0454364754259586,-0.0375397503376007,0.246542602777481,-0.0947453677654266,-0.4869304895401001,0.3812925815582275,0.0825986117124557,0.0973982587456703,-0.4982769191265106,0.1774352788925171,-0.0742842704057693,0.6047248840332031,-0.0550272762775421,-0.0201532244682312,-0.0274579636752605,-0.1453009396791458,-0.3649003207683563,0.1034518778324127,0.4332960844039917,0.3551168739795685,0.0863333269953727,0.0718486607074737,-0.0165958255529403,0.236744686961174,0.0462723188102245,0.1382441222667694,0.0347651615738868,0.3283390402793884,-0.0691561698913574,2.401599407196045,-0.2992116808891296,0.3152852356433868,-0.1808902621269226,-0.2722426056861877,-0.138868972659111,-0.3643416166305542,-0.4013954699039459,0.2468059062957763,-0.0272773019969463,-0.1930099129676818,-0.0104817263782024,0.1799933761358261,0.0005483645945787,0.2574536502361297,-0.0794336050748825,-0.0616915561258792,-0.0271497052162885,-0.1899276971817016,-0.0377042219042778,0.1692177951335907,-0.1345083564519882,0.0266977623105049,0.4446152448654175,0.054886408150196,-0.0609773099422454,0.1494103819131851,-0.1604436933994293,0.0679851174354553,0.1578787416219711,0.0538559556007385,-0.0717064887285232,-0.0549166426062583,0.21840900182724
5587,504403,504403,1,1,H12 C7 O2,dsgdb9_081376,145.6901,6.0,0.0525835305452346,0.193300113081932,-0.0615420192480087,-9.120430946350098,0.114505611360073,-0.0562523528933525,-0.131113052368164,0.2637091875076294,-0.0455123260617256,-0.1955027878284454,0.4188875555992126,0.1087156906723976,0.1048804223537445,-0.3134115934371948,0.1122263446450233,-0.135604977607727,0.6771097183227539,-0.0063878903165459,-0.0247983783483505,-0.0492463111877441,-0.1708193272352218,-0.3919883072376251,0.0560101382434368,0.4038663804531097,0.4464271962642669,0.158692717552185,-0.0110946483910083,-0.0943171083927154,0.327383816242218,-0.006684792228043,0.1619631797075271,0.0148133290931582,0.2616196572780609,-0.0605137236416339,1.898042678833008,-0.330897569656372,0.0846970379352569,-0.158537745475769,-0.2024216502904892,-0.2441511750221252,-0.4119155704975128,-0.3680689334869385,0.1714365035295486,0.0204561538994312,-0.3031440675258636,0.2325061410665512,0.1249357014894485,0.0013070851564407,0.244515836238861,-0.0811598747968673,-0.0198047310113906,-0.0194491408765316,-0.1239417418837547,-0.0335371792316436,0.1683107763528823,-0.0971527844667434,0.0449189506471157,0.2016649693250656,0.0808209925889968,-0.0757688805460929,0.0689924359321594,-0.1883086413145065,0.0654351711273193,0.1046768054366111,0.0576429851353168,-0.0706814378499984,0.0323653072118759,0.1411159634590149
8830,140141,140141,8,8,H6 C5 N2 O2,dsgdb9_025764,80.4884,6.0,-2.6805427074432373,-0.1906542330980301,0.0223506391048431,-9.138260841369627,0.100906990468502,-0.0270525459200143,-0.2372822165489196,0.2433679699897766,0.0314454995095729,-0.0907560437917709,0.4183089435100555,0.1417329162359237,0.2297026813030243,-0.3456804454326629,0.0414521247148513,-0.0683062225580215,0.8236977458000183,0.0466696545481681,-0.029466550797224,-0.0460794381797313,0.0649948120117187,-0.1949531137943267,0.0687002912163734,0.3338347971439361,0.5077651739120483,0.1393242180347442,0.002177458256483,0.148051381111145,0.1660545766353607,0.1032964661717414,0.162730187177658,0.0165247600525617,0.2091251760721206,-0.0376430116593837,1.9834226369857788,-0.3749023079872131,-0.0624148175120353,-0.1660664528608322,-0.1386034488677978,-0.0451520830392837,-0.2733768224716186,-0.3702845573425293,-0.0938098281621933,-0.0408223494887352,-0.2149849832057953,0.0704772472381591,-0.2103257775306701,0.0091283041983842,0.2039159685373306,-0.0684710294008255,-0.0525783561170101,0.0072623277083039,0.0042942613363265,-0.0792656168341636,0.061525385826826,-0.0735904276371002,-0.0185688212513923,0.4747121930122375,0.0805875957012176,-0.0226398520171642,0.2083116173744201,-0.213508203625679,0.0592087469995021,0.0706320703029632,0.0522962249815464,-0.0329106524586677,-0.0012785014696419,0.1550764292478561
8896,577968,577968,2,2,H11 C7 N1 O1,dsgdb9_092123,119.103,6.0,-1.0798078775405884,-0.7274203896522522,0.2132914662361145,-9.387568473815918,0.1075109988451004,-0.0236301496624946,0.0172260850667953,0.2037311792373657,-0.0852518677711486,-0.4713221192359924,0.3729749023914337,0.0938304364681243,0.0688109695911407,-0.4611899852752685,0.1206648796796798,-0.0749995484948158,0.6584559679031372,-0.0015766269061714,-0.0312676876783371,-0.0423311181366443,-0.1633654981851577,-0.2657951712608337,0.1481878161430359,0.3877148330211639,0.4076820313930511,0.0910041630268096,0.0423626191914081,0.101339116692543,0.0851339548826217,-0.0331584848463535,0.1248276159167289,0.02879966981709,0.3327634334564209,-0.0517586171627044,2.1849141120910645,-0.2915380895137787,0.2146837413311004,-0.2392845153808593,-0.2925131916999817,-0.2084901034832,-0.2954501211643219,-0.3695250749588012,0.2542823851108551,-0.0783523842692375,-0.0963117778301239,0.0009260103106498,-0.0053623616695404,-0.0160932019352912,0.1964354664087295,-0.0695764571428299,-0.1214924156665802,-0.0131271332502365,-0.134715586900711,-0.0975406840443611,0.1888436377048492,-0.0528921708464622,-0.0481877028942108,0.4940542876720428,0.1087565869092941,-0.0671915858983993,0.1754447072744369,-0.2051989883184433,0.0727514624595642,0.2235057950019836,0.0538561418652534,-0.1114105656743049,-0.0791292414069175,0.1854732185602188
12169,800588,800588,8,8,H7 C7 N1 O1,dsgdb9_126449,92.9118,6.0,1.2402212619781494,-2.790144443511963,5.337052822113037,-7.703577041625977,0.1307050585746765,-0.0303865410387516,-0.4267745614051819,0.2051420360803604,-0.0076169967651367,-0.0082615744322538,0.4162963032722473,-0.0340896509587764,0.4309619665145874,-0.2777489423751831,0.0376015082001686,0.0940477848052978,-0.1082080006599426,0.0403857082128524,-0.094940036535263,-0.0460060089826583,0.1249377280473709,0.0264985188841819,0.0613468140363693,0.345611959695816,0.6059027910232544,0.0850255712866783,0.0013906918466091,0.356018453836441,0.0602400787174701,0.1499119848012924,0.1731320470571518,-0.0184413008391857,0.0988563224673271,-0.0267825424671173,1.648135542869568,-0.145725816488266,-0.1138661578297615,-0.0903810635209083,0.0942663475871086,0.0894120782613754,-0.2350820899009704,-0.4106574356555938,-0.3258077204227447,-0.0368315428495407,-0.029856190085411,-0.003975162282586,-0.7144322395324707,-0.0697466284036636,0.1862767785787582,-0.0564691573381423,-0.075521782040596,0.0232838112860918,0.0118713984265923,-0.1247866153717041,0.2509844005107879,-0.1336333602666854,-0.0460360907018184,0.3727724254131317,0.0595898404717445,-0.0598873645067215,0.1641937643289566,-0.2418794780969619,0.0522574260830879,0.3125856220722198,0.0468770340085029,0.0198579095304012,-0.012928151525557,0.1124496161937713
16485,800316,800316,7,7,H9 C5 N3 O1,dsgdb9_126399,24.8497,6.0,2.0354819297790527,-0.5981578826904297,-1.4335228204727173,-8.110136985778809,0.1255108267068863,-0.0740494057536125,-0.4960129261016845,0.0996163487434387,-0.0159113109111785,0.0803256854414939,0.4214277863502502,-0.0347285345196723,0.0580631271004676,-0.0599779561161994,0.0389691404998302,0.0209922865033149,0.3147978186607361,0.1334619224071502,-0.0290141329169273,-0.0715519487857818,-0.1574759185314178,0.1351156830787658,0.1071497350931167,0.4400066435337066,0.5123945474624634,0.2673982977867126,-0.1945445239543914,0.3075738549232483,0.1693903505802154,-0.0582485906779766,0.1474696695804596,0.0217216871678829,0.1324869394302368,-0.0636836439371109,0.8329509496688843,-0.4565879106521606,-0.0515024960041046,-0.1068790182471275,-0.3727941215038299,-0.0102601088583469,-0.3273155689239502,-0.3015184998512268,-0.1659915447235107,-0.1405447572469711,-0.2055037915706634,1.083614468574524,-1.1252344846725464,0.0743669867515564,0.0296422466635704,-0.0533429495990276,-0.0210428368300199,0.0057641509920358,-0.0355304554104805,-0.4763489663600921,0.3439918160438537,0.3857015371322632,-0.0758054032921791,0.5948211550712585,0.164525493979454,-0.0632222592830658,0.0748491138219833,-0.129584401845932,0.0463655702769756,-0.0209848750382661,0.05934689193964,-0.0352061055600643,0.0697865784168243,0.1006085872650146
17969,158837,158837,2,2,H7 C6 N1 O2,dsgdb9_029191,50.6177,6.0,-0.0317559204995632,-0.6644159555435181,-1.152820706367493,-8.776981353759766,0.1014988273382186,-0.0897966995835304,-0.3034940958023071,0.2177098393440246,-0.0092862863093614,-0.144216388463974,0.387795478105545,0.0394338890910148,0.172858327627182,-0.3539143204689026,0.0397435873746871,0.016887467354536,0.1657176166772842,0.0505855157971382,-0.0520960614085197,-0.0626926347613334,0.003440722823143,-0.0987247377634048,0.1050658822059631,0.3786402344703674,0.4914015531539917,0.1616714000701904,0.0440512523055076,0.190745010972023,0.0661318451166153,0.0453297011554241,0.173940971493721,0.0231755599379539,0.2055031806230545,-0.0375211648643016,1.584365963935852,-0.3114272356033325,-0.0101595045998692,-0.1106208339333534,-0.2668649852275848,-0.0790034309029579,-0.3894338011741638,-0.4017978608608246,0.035192348062992,-0.0813164412975311,-0.0473709367215633,0.0029238983988761,-0.786037802696228,0.0362471416592597,0.1976028829813003,-0.0800571143627166,-0.0612465888261795,0.0045170411467552,-0.0391760095953941,-0.1440148204565048,0.1937841325998306,0.1263737380504608,-0.0528721064329147,0.404029369354248,0.0552024766802787,-0.0219557154923677,0.1660234630107879,-0.211300641298294,0.0546517744660377,0.1337970793247223,0.0523262545466423,-0.0504278801381588,-0.0667651668190956,0.1805241256952285
18909,377916,377916,6,6,H10 C7 O2,dsgdb9_063151,127.4533,6.0,1.5126023292541504,-1.673289179801941,-0.1559928059577942,-8.849884986877441,0.0943155661225318,-0.037614569067955,-0.1356279402971267,0.3275866508483886,0.0042845429852604,-0.1440424770116806,0.4556052684783935,0.1572915613651275,0.1203156560659408,-0.2834206521511078,0.1343556642532348,-0.1828044652938842,1.4194775819778442,0.0634776279330253,-0.0390990152955055,-0.050746276974678,0.0157687366008758,-0.2767500281333923,0.072139099240303,0.3589115738868713,0.4296263754367828,0.1061408594250679,0.0422001890838146,-0.0167713053524494,0.1474165171384811,-0.0186958741396665,0.1694222241640091,0.0305582862347364,0.2403905242681503,-0.0616559386253356,1.5813764333724976,-0.2323930710554123,0.0077765025198459,-0.1656514108180999,-0.1041230857372284,-0.3489503860473633,-0.3431318402290344,-0.3394612669944763,0.1704953461885452,-0.0198951512575149,-0.3843089044094085,0.1313724070787429,0.1582578718662262,-0.0360364951193332,0.2326291799545288,-0.0567671656608581,-0.0739491581916809,0.0060868011787533,-0.0020423117093741,-0.1108226105570793,-0.001999276690185,-0.1371365040540695,0.0408773943781852,0.3588258624076843,0.1156708151102066,-0.0743783116340637,0.1478816270828247,-0.1667420715093612,0.0691843926906585,0.0985985174775123,0.0586129687726497,-0.0614913627505302,-0.0612783730030059,0.1411171704530716
