,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,molcule_formula,dsgdb_idx,nmr_shift,atomic_number,x,y,z,energy,atom_feature_vector_1,atom_feature_vector_2,atom_feature_vector_3,atom_feature_vector_4,atom_feature_vector_5,atom_feature_vector_6,atom_feature_vector_7,atom_feature_vector_8,atom_feature_vector_9,atom_feature_vector_10,atom_feature_vector_11,atom_feature_vector_12,atom_feature_vector_13,atom_feature_vector_14,atom_feature_vector_15,atom_feature_vector_16,atom_feature_vector_17,atom_feature_vector_18,atom_feature_vector_19,atom_feature_vector_20,atom_feature_vector_21,atom_feature_vector_22,atom_feature_vector_23,atom_feature_vector_24,atom_feature_vector_25,atom_feature_vector_26,atom_feature_vector_27,atom_feature_vector_28,atom_feature_vector_29,atom_feature_vector_30,atom_feature_vector_31,atom_feature_vector_32,atom_feature_vector_33,atom_feature_vector_34,atom_feature_vector_35,atom_feature_vector_36,atom_feature_vector_37,atom_feature_vector_38,atom_feature_vector_39,atom_feature_vector_40,atom_feature_vector_41,atom_feature_vector_42,atom_feature_vector_43,atom_feature_vector_44,atom_feature_vector_45,atom_feature_vector_46,atom_feature_vector_47,atom_feature_vector_48,atom_feature_vector_49,atom_feature_vector_50,atom_feature_vector_51,atom_feature_vector_52,atom_feature_vector_53,atom_feature_vector_54,atom_feature_vector_55,atom_feature_vector_56,atom_feature_vector_57,atom_feature_vector_58,atom_feature_vector_59,atom_feature_vector_60,atom_feature_vector_61,atom_feature_vector_62,atom_feature_vector_63,atom_feature_vector_64
3,6,6,2,2,H1 C3 F3,dsgdb9_000826,233.4603,9.0,1.2402701377868652,1.8425054550170896,-0.0261285807937383,-4.568915367126465,0.054488655179739,-0.0063042696565389,-0.0846864581108093,-0.1457815617322921,0.1030860021710395,-0.1138386353850364,0.0033728890120983,0.2866795063018799,-0.4125269055366516,0.01185660995543,-0.0170714054256677,-0.0312211830168962,0.3444384336471557,-0.2352794855833053,0.0638886764645576,-0.159662663936615,0.560462474822998,-0.1394411772489547,0.0016626226715743,0.0196632798761129,0.1899310946464538,-0.0956406593322753,-0.0343965627253055,-0.3788900971412658,-0.2644824087619781,-0.0656670480966568,0.0400570854544639,-0.0314876474440097,0.0116322413086891,-0.1175796315073967,0.5623663067817688,-0.4470332860946655,0.1849514096975326,0.0114750955253839,0.0234576817601919,-0.1641009449958801,-0.509682834148407,-0.0431428551673889,-0.0142680816352367,-0.112709641456604,-0.0972950085997581,0.0672825798392295,0.0007776115089654,0.0862206071615219,0.1368008852005005,0.2932585179805755,0.0606289505958557,0.1072280555963516,-0.0132826603949069,-0.1308521032333374,0.0644513964653015,0.4171503484249115,0.1382335126399994,0.6006866097450256,-0.0777325481176376,0.0579507239162921,0.144274353981018,-0.0177310761064291,-0.0825536921620369,-0.0683057308197021,0.0472801178693771,-0.0228505972772836,-0.1259158253669738,-0.1400713771581649
4,3006,3006,7,7,H8 C4 N1 O1 F3,dsgdb9_133802,256.9337,9.0,1.4438796043395996,-4.017170906066895,-2.080851554870605,-4.686220169067383,0.0532275699079036,-0.0150166302919387,-0.1180391758680343,-0.1701027303934097,0.1092713251709938,-0.1212814599275589,0.011064943857491,0.1967888921499252,-0.3654282987117767,0.0089760962873697,-0.0059873461723327,-0.0313129797577858,0.3300727009773254,-0.2279711216688156,0.0138392411172389,-0.1253916174173355,0.5753592252731323,-0.0602813549339771,0.0129255913197994,0.0175659954547882,0.1910638362169265,-0.1010496020317077,-0.0235106348991394,-0.4083347022533417,-0.2215236127376556,-0.0629985257983207,0.0453353002667427,-0.0189070329070091,-0.0068753324449062,-0.0844525247812271,0.5985364317893982,-0.4484834969043731,0.1644866019487381,0.0178506411612033,0.0191711988300085,-0.0483255125582218,-0.5759304761886597,-0.069120854139328,-0.0556938871741294,-0.10782490670681,-0.0971658900380134,0.0653182864189148,-0.0073087671771645,0.0836622267961502,0.1271289139986038,0.2705046534538269,0.0632276758551597,0.1139661073684692,-0.0182487536221742,-0.1234136074781417,0.0569378435611724,0.5507617592811584,0.1343348026275634,0.6628125309944153,-0.0618516653776168,0.0500598736107349,0.1424533128738403,0.0646387264132499,-0.0832045599818229,-0.0641419142484664,0.0424298234283924,-0.0297872684895992,-0.1049971058964729,-0.1400602310895919
5,1922,1922,0,0,H2 C4 N2 O1 F2,dsgdb9_133418,337.5127,9.0,0.032914899289608,0.0658996626734733,0.20988629758358,-4.856020450592041,0.0436281599104404,-0.0387780033051967,-0.09969262778759,-0.1734513491392135,0.0998632535338401,-0.1655788719654083,-0.0452119559049606,0.3346794843673706,-0.3952623307704925,-0.0396321006119251,-0.0136955473572015,-0.0395437218248844,0.298335999250412,-0.2200496047735214,0.0581785589456558,-0.1361759603023529,0.7052213549613953,-0.0730950087308883,0.0181343499571084,0.0243749693036079,0.1921398192644119,-0.1394612491130828,-0.0450364723801612,-0.4934863150119781,-0.2545274794101715,0.0038785245269536,0.0427118577063083,-0.0135063901543617,0.0817698389291763,-0.057126123458147,0.5769084095954895,-0.4782838821411133,0.1922646909952163,0.0103798992931842,0.0228467546403408,-0.1110622882843017,-0.8064804077148438,-0.1438902616500854,-0.129246637225151,-0.1027311831712722,-0.1126777604222297,0.06503526866436,-0.0074702845886349,0.1024365276098251,0.120955616235733,0.2961854934692383,0.0501207001507282,0.1091665774583816,-0.059140246361494,-0.1077365130186081,0.0181691963225603,0.5643240213394165,0.1490429639816284,0.5499687194824219,-0.0935659557580947,0.0890784934163093,0.1120784431695938,0.075466975569725,-0.0852122008800506,-0.0493432804942131,0.0349002480506897,-0.0533593855798244,-0.1066220700740814,-0.1521930396556854
7,1410,1410,0,0,H4 C7 N1 F1,dsgdb9_132833,234.6861,9.0,-0.007969900034368,0.0588360093533992,0.0040653701871633,-4.854373931884766,0.0559771582484245,-0.0274049658328294,-0.108257919549942,-0.1471032500267028,0.1054011210799217,-0.1558852046728134,-0.0466064438223838,0.2456467449665069,-0.4036519527435303,-0.0498662926256656,-0.0186355598270893,-0.035901054739952,0.3143670558929443,-0.2236671894788742,0.0603078044950962,-0.1280799657106399,0.646479606628418,-0.021594725549221,0.0098255919292569,0.0274989679455757,0.1887976825237274,-0.1134076863527298,-0.0510434992611408,-0.3736761808395386,-0.2876175045967102,-0.0059360726736485,0.036480076611042,-0.0079577602446079,0.0698399245738983,-0.0720106288790702,0.6195181012153625,-0.4833807945251465,0.2153893709182739,0.0052376864477992,0.0157403144985437,-0.0605929307639598,-0.6585650444030762,-0.1042628958821296,-0.074035495519638,-0.109445996582508,-0.1054790243506431,0.0614981688559055,-0.0053294198587536,0.0976705253124237,0.1237538009881973,0.2946378886699676,0.04302329570055,0.1019595265388488,-0.0722438246011734,-0.1015048995614051,0.0600926354527473,0.5186851024627686,0.1465004980564117,0.589146077632904,-0.0881324782967567,0.0928051471710205,0.1341429203748703,0.0908897668123245,-0.0848828628659248,-0.0427187569439411,0.0481887683272361,-0.0587589219212532,-0.1003635972738266,-0.1467155814170837
9,125,125,6,6,H3 C3 N4 F1,dsgdb9_023665,214.3639,9.0,2.27757215499878,-2.5803656578063965,-0.023300839588046,-4.758721828460693,0.0804570913314819,-0.0273110307753086,-0.1192921996116638,-0.1426277756690979,0.1079809367656707,-0.1583113968372345,-0.0453749969601631,0.1464511603116989,-0.3775831162929535,-0.0614154785871505,-0.0191391501575708,-0.0325340032577514,0.3656656146049499,-0.2247972637414932,0.0613733902573585,-0.1498588025569915,0.8446574211120605,0.050709031522274,0.0076672537252306,0.0210759192705154,0.1827130615711212,-0.0932526290416717,-0.0496604964137077,-0.2261600643396377,-0.2961964607238769,-0.0241817161440849,0.0366243980824947,-0.0076151825487613,0.0398438349366188,-0.094318151473999,0.6038818359375,-0.4926917552947998,0.2250923067331314,-0.0179333873093128,0.0293771605938673,-0.078630082309246,-0.4979454278945923,-0.0459794774651527,-0.0693729668855667,-0.111417070031166,-0.1024151891469955,0.0659513622522354,0.003947565332055,0.0995098054409027,0.1168504506349563,0.2983538508415222,0.0427190586924552,0.1100492998957634,-0.0266379751265048,-0.1071240454912185,0.0687148720026016,0.3857436776161194,0.1573995947837829,0.6930767297744751,-0.0904972851276397,0.1034521460533142,0.1533798426389694,0.0624052882194519,-0.0846956446766853,-0.0370394103229045,0.050871729850769,-0.0656989067792892,-0.1204965934157371,-0.1571699678897857
10,2465,2465,6,6,H2 C3 F6,dsgdb9_133621,251.0934,9.0,1.2555010318756104,1.8352196216583248,2.6211299896240234,-4.62330961227417,0.0541741587221622,-0.0104950629174709,-0.12150339782238,-0.1725144982337951,0.104807898402214,-0.112829566001892,0.0212893448770046,0.2139136642217636,-0.3610764741897583,0.0334888510406017,-0.0130340047180652,-0.0309772118926048,0.3276497423648834,-0.2204240560531616,0.0494060590863227,-0.1146769076585769,0.5818281769752502,-0.1114236935973167,0.0016419645398855,0.0206254627555608,0.197007417678833,-0.0991888120770454,-0.0265056528151035,-0.3958520889282226,-0.2530564963817596,-0.0701248794794082,0.0433358326554298,-0.0293055493384599,2.699252218008041e-05,-0.026461562141776,0.6240220665931702,-0.4445965886116028,0.1677406132221222,0.0172728337347507,0.0118671627715229,-0.090673990547657,-0.53727126121521,-0.0485188737511634,-0.0383181199431419,-0.1072457805275917,-0.0945963039994239,0.0664482116699218,-0.001552689820528,0.0863173007965087,0.1151294112205505,0.2879281640052795,0.0676254853606224,0.1216397210955619,0.0258033983409404,-0.1109576597809791,0.0376143679022789,0.4411026835441589,0.1307612806558609,0.6159177422523499,-0.0454804599285125,0.0485327914357185,0.153701364994049,0.0287361517548561,-0.0847391784191131,-0.0694835856556892,0.0516221709549427,-0.0292116422206163,-0.11544980853796,-0.1214993894100189
14,1999,1999,0,0,H2 C4 N1 O1 F3,dsgdb9_133466,245.4107,9.0,-0.4511529803276062,0.1891040056943893,-0.3246336579322815,-4.605589389801025,0.0539126023650169,-0.0098691591992974,-0.0964287295937538,-0.1624353975057602,0.105203703045845,-0.1181240752339363,0.0061043025925755,0.2695151567459106,-0.384850263595581,0.0118731334805488,-0.0072841122746467,-0.0310438089072704,0.3374031484127044,-0.2320747375488281,0.0608298741281032,-0.1449580192565918,0.6427767276763916,-0.0843236148357391,0.0035808112006634,0.0109638348221778,0.1911178976297378,-0.099879078567028,-0.0218469016253948,-0.356290340423584,-0.2370323985815048,-0.0584816336631774,0.0430749095976352,-0.0256320722401142,0.0086339740082621,-0.0975051298737526,0.5649718046188354,-0.4474193155765533,0.1744348257780075,0.0163281634449958,0.0192876178771257,-0.0898345112800598,-0.5557862520217896,-0.048587255179882,-0.0347266346216201,-0.110472448170185,-0.1012516170740127,0.0660873651504516,-0.0063990270718932,0.0848147049546241,0.115163154900074,0.2921934425830841,0.0601220205426216,0.1103704199194908,-0.0032560459803789,-0.1266304552555084,0.0507977306842803,0.5033785700798035,0.1353494375944137,0.6324026584625244,-0.0639191344380378,0.0564992949366569,0.1449447274208068,0.0050045428797602,-0.0833741053938865,-0.0615611672401428,0.0452954806387424,-0.0250525716692209,-0.1223782300949096,-0.1356728971004486
15,1236,1236,8,8,H3 C5 N1 O1 F2,dsgdb9_132697,350.9289,9.0,0.0834315568208694,-0.0074691898189485,2.2921321392059326,-4.946488380432129,0.0296284183859825,-0.0595868155360221,-0.0774559304118156,-0.1787097603082656,0.1058489978313446,-0.1436851173639297,-0.0304313320666551,0.3603734374046325,-0.387647271156311,-0.0455249547958374,-0.0168092306703329,-0.0408166609704494,0.2945415675640106,-0.2250768095254898,0.0516338273882865,-0.1388521194458007,0.6781580448150635,-0.0562194883823394,0.0002387150889262,0.0137471053749322,0.1930716037750244,-0.1298887729644775,-0.0580857060849666,-0.6452417969703674,-0.2586567103862762,0.003436111845076,0.0440131314098835,-0.019759826362133,0.0729983299970626,-0.0542507357895374,0.5366239547729492,-0.4728031456470489,0.2079829275608062,0.0186972245573997,-0.0038878563791513,-0.0838969498872757,-0.8350720405578613,-0.1425314098596573,-0.1302050650119781,-0.1041685789823532,-0.1151016801595687,0.0642569437623024,-0.0073645021766424,0.1047267392277717,0.2140984088182449,0.2887154221534729,0.0404141657054424,0.1100273355841636,-0.0210342220962047,-0.071280837059021,0.0252723712474107,0.5476008057594299,0.1514156758785247,0.5497773885726929,-0.1037615612149238,0.0806268006563186,0.100858099758625,0.0537821054458618,-0.0854857563972473,-0.0428151898086071,0.0409561991691589,-0.0508232004940509,-0.1075464561581611,-0.1464178264141082
23,58,58,5,5,H5 C3 O1 F3,dsgdb9_004230,260.3008,9.0,1.2630615234375,-2.5985591411590576,2.080972671508789,-4.662954807281494,0.0545545555651187,-0.0180222857743501,-0.1065335422754287,-0.1684331744909286,0.106669932603836,-0.1117792725563049,0.0098357321694493,0.212426483631134,-0.3687328100204468,0.0065261963754892,-0.011734795756638,-0.0311153065413236,0.3317932188510895,-0.2344903498888015,0.040539763867855,-0.1514037102460861,0.5108464360237122,-0.0848224163055419,0.0080554652959108,0.0328705161809921,0.2020485699176788,-0.1044225767254829,-0.0318865999579429,-0.4521121382713318,-0.2266433984041214,-0.0681963041424751,0.0420782752335071,-0.0259860642254352,-0.0132517013698816,-0.0660500973463058,0.5934878587722778,-0.4445787072181701,0.171754390001297,0.0111033339053392,0.019550010561943,-0.0978670865297317,-0.5933293104171753,-0.0598850771784782,-0.0400765836238861,-0.1081788167357444,-0.0982446372509002,0.0679156258702278,0.002019478008151,0.0863523036241531,0.1466647386550903,0.2918043732643127,0.0782017111778259,0.1135751008987426,0.0259149372577667,-0.1183450371026992,0.0547154918313026,0.470680832862854,0.1427511423826217,0.6494019031524658,-0.0773190483450889,0.0619190111756324,0.1341364681720733,0.0612663254141807,-0.0833988413214683,-0.0743201002478599,0.0449217967689037,-0.0266119763255119,-0.1300490200519561,-0.1481064707040786
26,2328,2328,8,8,H7 C5 O1 F3,dsgdb9_133577,244.4293,9.0,2.2238571643829346,-0.7489705085754395,2.881547451019287,-4.625175476074219,0.0521339513361454,-0.0174650475382804,-0.0965858995914459,-0.166280448436737,0.1079574897885322,-0.1190094426274299,0.0115232784301042,0.2349028289318084,-0.3688872456550598,0.0161368865519762,-0.0072478335350751,-0.0314293429255485,0.3180144429206848,-0.2329024970531463,0.0466843470931053,-0.1457942128181457,0.5543341040611267,-0.0545187704265117,0.0078919120132923,0.0306586865335702,0.1969998627901077,-0.1032453030347824,-0.0320331826806068,-0.4118541479110718,-0.2334444224834442,-0.0643749088048935,0.0420159958302974,-0.0300153288990259,-0.0032911403104662,-0.0721819028258323,0.5698668360710144,-0.4473503530025482,0.1718959063291549,0.0136136766523122,0.0189655739814043,-0.0895296707749366,-0.580650806427002,-0.0522571578621864,-0.0427249036729335,-0.1085144057869911,-0.0987573266029357,0.0679517462849617,-0.0029325066134333,0.0846885815262794,0.1320720911026001,0.2920197248458862,0.0694890916347503,0.112395241856575,0.025462944060564,-0.1210323274135589,0.0511368885636329,0.4910532534122467,0.1375028789043426,0.645687997341156,-0.0718365162611007,0.0601613782346248,0.1386637538671493,0.0465290248394012,-0.0835525244474411,-0.0709685981273651,0.0442479588091373,-0.0276811011135578,-0.1232030540704727,-0.1406417042016983
