,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,molcule_formula,dsgdb_idx,nmr_shift,atomic_number,x,y,z,energy,atom_feature_vector_1,atom_feature_vector_2,atom_feature_vector_3,atom_feature_vector_4,atom_feature_vector_5,atom_feature_vector_6,atom_feature_vector_7,atom_feature_vector_8,atom_feature_vector_9,atom_feature_vector_10,atom_feature_vector_11,atom_feature_vector_12,atom_feature_vector_13,atom_feature_vector_14,atom_feature_vector_15,atom_feature_vector_16,atom_feature_vector_17,atom_feature_vector_18,atom_feature_vector_19,atom_feature_vector_20,atom_feature_vector_21,atom_feature_vector_22,atom_feature_vector_23,atom_feature_vector_24,atom_feature_vector_25,atom_feature_vector_26,atom_feature_vector_27,atom_feature_vector_28,atom_feature_vector_29,atom_feature_vector_30,atom_feature_vector_31,atom_feature_vector_32,atom_feature_vector_33,atom_feature_vector_34,atom_feature_vector_35,atom_feature_vector_36,atom_feature_vector_37,atom_feature_vector_38,atom_feature_vector_39,atom_feature_vector_40,atom_feature_vector_41,atom_feature_vector_42,atom_feature_vector_43,atom_feature_vector_44,atom_feature_vector_45,atom_feature_vector_46,atom_feature_vector_47,atom_feature_vector_48,atom_feature_vector_49,atom_feature_vector_50,atom_feature_vector_51,atom_feature_vector_52,atom_feature_vector_53,atom_feature_vector_54,atom_feature_vector_55,atom_feature_vector_56,atom_feature_vector_57,atom_feature_vector_58,atom_feature_vector_59,atom_feature_vector_60,atom_feature_vector_61,atom_feature_vector_62,atom_feature_vector_63,atom_feature_vector_64
3494,1197080,1197080,9,9,H5 C4 N3 O2,dsgdb9_131358,27.4341,1.0,0.0924630910158157,1.589630365371704,-1.074784755706787,-3.0890321731567383,0.119907297194004,-0.2622151374816894,-2.317612171173096,-0.2267097532749176,0.0965501442551612,0.1221399530768394,0.2718879282474518,-0.426754891872406,-0.8400682806968689,0.8166646957397461,0.2225119322538375,-0.2410070300102234,-0.220713660120964,0.0974926874041557,-0.016920655965805,0.0635363981127739,0.1246674954891204,0.2379698604345321,0.2127682566642761,0.0891643911600112,0.6353363394737244,0.2798328399658203,-0.0186113379895687,-0.1720772832632064,0.2426370531320572,0.0087640574201941,-0.2554952204227447,-0.0118688195943832,0.0237856060266494,-0.0954342186450958,0.1283186674118042,-0.0136743634939193,-0.5208264589309692,0.5436506867408752,-0.0156434308737516,0.0018656817264854,0.074085384607315,-0.7557116746902466,-0.259685605764389,-0.1755131632089615,-0.1051361635327339,0.2831448018550873,-2.9415745735168457,0.5466191172599792,-0.2503475844860077,-0.0856620818376541,-0.0827013850212097,-0.0597478859126567,-0.0005188904469832,-0.913584291934967,-0.0198462568223476,0.2889800071716308,0.1243971735239029,-0.6964913606643677,-0.0190531536936759,0.2220953404903412,-0.233753502368927,0.1343141496181488,0.1710366010665893,0.1042341068387031,0.1978573501110077,-0.1903967261314392,0.2339460998773574,-0.0025324714370071
3793,351936,351936,10,10,H6 C7 O2,dsgdb9_043974,28.8125,1.0,0.712179958820343,2.9148614406585693,2.0760905742645264,-3.372013568878174,0.0711449608206749,-0.261527955532074,-1.546097755432129,-0.2349601835012436,0.090183712542057,0.0606724396347999,0.3386141955852508,-0.0808895081281662,-0.8403961658477783,0.071603424847126,0.2218082696199417,-0.2361150830984115,0.1179189085960388,0.0048189447261393,-0.0199425499886274,-0.1338774859905243,0.1151398122310638,0.6525694727897644,0.1425491571426391,0.0396260991692543,1.2430918216705322,0.289178192615509,-0.1974191963672638,-0.3240601718425751,0.1365852504968643,0.0287552401423454,-0.2286602258682251,-0.2101007848978042,-0.0290786400437355,-0.1047862321138382,1.262706995010376,-0.2279735058546066,-0.5353548526763916,0.2231993228197097,-0.0208341125398874,0.0597980245947837,-0.455925852060318,-0.5468108654022217,-0.0214941948652267,-0.1645874679088592,-0.1232247576117515,0.2546709179878235,-1.80605947971344,0.5430643558502197,-0.2509814202785492,-0.0975874960422515,-0.0912295430898666,-0.0539365373551845,-0.1022916734218597,-0.2468605786561966,-0.09659294039011,0.1518755257129669,0.1580824851989746,-0.6406144499778748,-0.0346568375825881,0.1216737851500511,-0.1958825141191482,0.2234206795692443,0.1767148971557617,0.3063164353370666,0.1842040717601776,-0.1647316068410873,0.238166943192482,0.0741589590907096
4059,1191942,1191942,14,14,H7 C4 N5,dsgdb9_130074,30.8497,1.0,-0.2380170077085495,-4.057170867919922,1.8078542947769165,-3.408447027206421,0.0961059182882309,-0.261391282081604,-1.6704936027526855,-0.2621302902698517,0.0919573009014129,0.0609507523477077,0.3437608480453491,-0.1275518983602523,-0.8403918147087097,0.0647395551204681,0.2218298316001892,-0.2360968887805938,0.1259475946426391,-0.0031078734900802,-0.0200702529400587,-0.1160407662391662,0.0890994668006897,0.7006029486656189,0.1446337252855301,0.0346229337155818,1.3270388841629028,0.2913563847541809,-0.2571408152580261,-0.3182912766933441,0.1626970767974853,0.0254699867218732,-0.2323880791664123,-0.2192772328853607,-0.0312265940010547,-0.1116475313901901,1.259378433227539,-0.2617855668067932,-0.5350003242492676,0.2391568720340728,-0.024127347394824,0.0617195665836334,-0.5590193867683411,-0.5582037568092346,-0.0319505780935287,-0.1700463593006134,-0.1250045895576477,0.2533198595046997,-1.8525142669677728,0.5433411598205566,-0.2521330416202545,-0.0966619774699211,-0.0836409255862236,-0.0560687370598316,-0.0923677682876586,-0.2773510217666626,-0.1011579036712646,0.1485695838928222,0.1755501180887222,-0.6471155285835266,-0.0368735529482364,0.1179263889789581,-0.1966529041528701,0.2006810903549194,0.1771271377801895,0.3082292675971985,0.1842844635248184,-0.1668501049280166,0.2376084327697754,0.0798955336213111
4976,261247,261247,14,14,H10 C7 N2,dsgdb9_033537,29.5001,1.0,1.587926745414734,2.5992136001586914,-0.7620404362678528,-3.3528072834014893,0.0787797272205352,-0.262848287820816,-1.6521836519241333,-0.2578521370887756,0.0904408767819404,0.0659395530819892,0.3192331194877624,-0.1404280960559845,-0.8405088186264038,0.1089612171053886,0.2218436151742935,-0.2361671775579452,0.1235447525978088,0.0008508147438988,-0.0219165198504924,-0.1141570806503295,0.1024627462029457,0.692954957485199,0.1320178210735321,0.0332779586315155,1.2538459300994873,0.2896862924098968,-0.2255994975566864,-0.3473923504352569,0.1712656766176223,0.0219783522188663,-0.2175571322441101,-0.216123878955841,-0.0303344335407018,-0.1000823304057121,1.1752269268035889,-0.1945137679576873,-0.5387742519378662,0.2397179752588272,-0.0228963438421487,0.0676313862204551,-0.4728208184242248,-0.5897164940834045,0.0187382791191339,-0.1647768914699554,-0.1235235258936882,0.2441473007202148,-1.8220430612564087,0.5439988970756531,-0.2494826167821884,-0.1116920039057731,-0.069571778178215,-0.0555015616118907,-0.0770844370126724,-0.2935450375080108,-0.1049100086092948,0.1795777380466461,0.1575572490692138,-0.6507089138031006,-0.0514443330466747,0.1304950565099716,-0.1934744119644165,0.201007455587387,0.1778840720653534,0.3040205836296081,0.170995607972145,-0.1668384075164795,0.2447465658187866,0.1028558015823364
5663,1125911,1125911,9,9,H13 C6 N1 O2,dsgdb9_121477,30.7412,1.0,0.866672158241272,1.886432647705078,0.0394392497837543,-3.368082284927368,0.0694157034158706,-0.2664418220520019,-1.565359115600586,-0.3119089007377624,0.0909431651234626,0.0364894606173038,0.3044151961803436,-0.2204896807670593,-0.8403026461601257,0.0140550304204225,0.221882626414299,-0.2363508641719818,0.0728834271430969,-0.0192203968763351,-0.0203264094889163,-0.2818441390991211,0.1100224032998085,1.0530248880386353,0.1505402475595474,0.0299043674021959,1.105456829071045,0.2910071313381195,-0.246670514345169,-0.3471948504447937,0.2126972824335098,0.0314837582409381,-0.2432330250740051,-0.2664900422096252,-0.0408654548227787,-0.1042148470878601,1.1105165481567385,-0.2396826446056366,-0.534761905670166,0.3203159868717193,-0.0014765684027224,0.05369084328413,-0.3967838883399963,-0.6120610237121582,-0.0375584736466407,-0.1793658584356308,-0.1403151005506515,0.2535827755928039,-1.7884917259216309,0.5417851209640503,-0.262988418340683,-0.0913147628307342,-0.0615882277488708,-0.0628122687339782,-0.0021309091243892,-0.307677149772644,-0.0718798637390136,0.1815356314182281,0.1916951537132263,-0.6846684217453003,-0.0546900928020477,0.1832764148712158,-0.2067431211471557,0.1856083422899246,0.1729816347360611,0.3032339811325073,0.1394331753253936,-0.1652417480945587,0.2338139563798904,0.0780328810214996
7316,958290,958290,13,13,H11 C7 N1 O1,dsgdb9_106582,29.0732,1.0,3.098939895629883,-0.5543026328086853,0.4301369488239288,-3.352372169494629,0.0709576159715652,-0.2626314163208008,-1.5954993963241575,-0.230959266424179,0.0896486043930053,0.0624144114553928,0.3223629891872406,-0.1291105896234512,-0.8405342102050781,0.1035919710993766,0.2218236625194549,-0.2361008673906326,0.1279118210077285,0.0316503942012786,-0.021690160036087,-0.1064504459500312,0.0734131336212158,0.6524186730384827,0.1177696734666824,0.0439846850931644,1.237535834312439,0.2872675061225891,-0.2285162210464477,-0.333507627248764,0.1901348829269409,0.0209181252866983,-0.2156582772731781,-0.1958685368299484,-0.026643143966794,-0.1073491722345352,1.1867111921310425,-0.1811277717351913,-0.5391724109649658,0.2451651245355606,-0.0185900758951902,0.0789568573236465,-0.4759944677352905,-0.5996143221855164,-0.0028932271525263,-0.1645095199346542,-0.122938334941864,0.2492076903581619,-1.7752002477645874,0.5440768599510193,-0.251751959323883,-0.1126670092344284,-0.0858444944024086,-0.0565242134034633,-0.0966248661279678,-0.3020021915435791,-0.1085045486688613,0.1878091841936111,0.1446443498134613,-0.633661150932312,-0.0490789152681827,0.129436656832695,-0.1901593506336212,0.2060445994138717,0.1787013560533523,0.3131875693798065,0.1730426698923111,-0.1660238653421402,0.2644102275371551,0.101269744336605
7667,565824,565824,15,15,H8 C6 O3,dsgdb9_068099,29.8244,1.0,0.5805748701095581,-0.497285783290863,-2.1181440353393555,-3.362140893936157,0.0875548124313354,-0.2647328972816467,-1.633769392967224,-0.2726925611495971,0.0881825610995292,0.0539284013211727,0.3320245742797851,-0.1383765786886215,-0.8403558135032654,0.0950908958911895,0.2217527329921722,-0.2361011356115341,0.1147966161370277,-0.0019160407828167,-0.0206214264035224,-0.1249118521809578,0.1490901857614517,0.6938546895980835,0.1395148485898971,0.0390341095626354,1.2160152196884155,0.2892792820930481,-0.2420293539762497,-0.358951598405838,0.17991304397583,0.0110523123294115,-0.2281045764684677,-0.2243742793798446,-0.0368036553263664,-0.1025748699903488,1.1867495775222778,-0.2075916528701782,-0.5424150228500366,0.2657354176044464,-0.0201234277337789,0.0586498007178306,-0.4412327110767364,-0.594615638256073,0.0042488756589591,-0.1645112335681915,-0.1253497004508972,0.2513535916805267,-1.8193919658660889,0.5442484617233276,-0.2514282763004303,-0.107943557202816,-0.0446867570281028,-0.053392082452774,-0.0848865956068039,-0.2711440026760101,-0.0917276442050933,0.1572307348251342,0.1851847618818283,-0.652555525302887,-0.0407020822167396,0.1336952745914459,-0.1940995901823043,0.1931066066026687,0.1783632934093475,0.3103271722793579,0.1640505045652389,-0.1658424288034439,0.2368067651987075,0.092181384563446
9776,1174822,1174822,12,12,H8 C4 N4 O1,dsgdb9_126991,27.4525,1.0,-1.0281267166137695,-0.4694010615348816,0.0142906904220581,-3.4038026332855225,0.1046604812145233,-0.2656973600387573,-1.6451623439788818,-0.289061427116394,0.0907874628901481,0.0628333166241645,0.3614539504051208,-0.1148401200771331,-0.8410249352455139,0.0604465156793594,0.221792921423912,-0.2363620102405548,0.1744138896465301,-0.0187411978840827,-0.0186696015298366,-0.1468224674463272,0.2025433778762817,0.7140630483627319,0.1433765590190887,0.0292332507669925,1.136098861694336,0.291125625371933,-0.1898568868637085,-0.3268989622592926,0.178370326757431,-0.0039192805998027,-0.2375109791755676,-0.2196096330881118,-0.0559345558285713,-0.093679055571556,1.2347640991210938,-0.2317827939987182,-0.5322586894035339,0.256415992975235,-0.002842070069164,0.0657420977950096,-0.4789658188819885,-0.5239198207855225,-0.0259134098887443,-0.1767602711915969,-0.1403116732835769,0.2651173174381256,-1.7209877967834473,0.5441135168075562,-0.2495074272155761,-0.0987997502088546,-0.0703196004033088,-0.0517588481307029,-0.1211098954081535,-0.2439804673194885,-0.0967645347118377,0.105378121137619,0.1744580864906311,-0.6109334230422974,-0.0167284477502107,0.1132979393005371,-0.2045040279626846,0.1977523863315582,0.1764688193798065,0.3233576118946075,0.1581069976091385,-0.1647657603025436,0.2094116657972335,0.0844166576862335
10278,210123,210123,11,11,H9 C6 N1 O2,dsgdb9_026400,30.9563,1.0,-0.4752819240093231,1.8351963758468628,1.0666292905807495,-3.3634424209594727,0.0632130578160286,-0.2667871415615082,-1.6052294969558716,-0.305192768573761,0.0903428792953491,0.0432390086352825,0.3229685723781585,-0.216634601354599,-0.8403798341751099,0.0195569992065429,0.2219316810369491,-0.2362835258245468,0.0947339609265327,-0.0101213846355676,-0.0215824581682682,-0.2906159162521362,0.1089457422494888,1.0092625617980957,0.1464989930391311,0.0238636955618858,1.109346628189087,0.2904881536960602,-0.2198183536529541,-0.3714170157909393,0.2154838442802429,0.0229856427758932,-0.2310797721147537,-0.2555149793624878,-0.0453055799007415,-0.1010560020804405,1.0879243612289429,-0.21901436150074,-0.5390336513519287,0.3089642226696014,-0.0074685392901301,0.0673737153410911,-0.3837558031082153,-0.6449472308158875,-0.0220964439213275,-0.1759185194969177,-0.1392671018838882,0.2507088780403137,-1.7659351825714111,0.5422385334968567,-0.2552376091480255,-0.1072703972458839,-0.0667779073119163,-0.0599628798663616,-0.0192739441990852,-0.3036603033542633,-0.078043058514595,0.1888379454612732,0.1859460771083831,-0.6814598441123962,-0.0459633916616439,0.1713687479496002,-0.2044247090816497,0.1800590455532074,0.1737015843391418,0.2996467649936676,0.1327572464942932,-0.16506989300251,0.2451492100954055,0.0959429517388343
14436,136856,136856,8,8,H9 C6 N1 O1,dsgdb9_016303,30.8332,1.0,0.8918702006340027,2.1263272762298584,-0.0730529576539993,-3.340064287185669,0.0385812632739543,-0.2658995687961578,-1.617902398109436,-0.301396906375885,0.0901609361171722,0.049459770321846,0.3057655692100525,-0.2212280035018921,-0.8401882648468018,0.0505739077925682,0.221960574388504,-0.2362459003925323,0.0792112648487091,-0.0046278522349894,-0.0212201122194528,-0.292864441871643,0.1148997694253921,1.0008617639541626,0.1410208791494369,0.0232696514576673,1.1265642642974854,0.2906973361968994,-0.204059898853302,-0.3692659735679626,0.2122424840927124,0.027970302850008,-0.2154936641454696,-0.2454893887042999,-0.0320659577846527,-0.0922413766384124,1.0400758981704712,-0.1985192447900772,-0.5336717963218689,0.2882579863071441,-0.0124987801536917,0.0659361183643341,-0.3844975531101227,-0.6340340375900269,0.0004644077271223,-0.1717184484004974,-0.1387834548950195,0.2496885359287262,-1.761846899986267,0.5420087575912476,-0.2627843618392944,-0.1153185591101646,-0.0681439563632011,-0.060152567923069,0.0003359030815772,-0.3171536028385162,-0.0887225195765495,0.1844545304775238,0.1758809685707092,-0.6851520538330078,-0.0589038543403148,0.1693133860826492,-0.2061120718717575,0.1950314939022064,0.1754882782697677,0.2781217098236084,0.1369319856166839,-0.1654780507087707,0.2452321648597717,0.1015822812914848
