,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,molcule_formula,dsgdb_idx,nmr_shift,atomic_number,x,y,z,energy,atom_feature_vector_1,atom_feature_vector_2,atom_feature_vector_3,atom_feature_vector_4,atom_feature_vector_5,atom_feature_vector_6,atom_feature_vector_7,atom_feature_vector_8,atom_feature_vector_9,atom_feature_vector_10,atom_feature_vector_11,atom_feature_vector_12,atom_feature_vector_13,atom_feature_vector_14,atom_feature_vector_15,atom_feature_vector_16,atom_feature_vector_17,atom_feature_vector_18,atom_feature_vector_19,atom_feature_vector_20,atom_feature_vector_21,atom_feature_vector_22,atom_feature_vector_23,atom_feature_vector_24,atom_feature_vector_25,atom_feature_vector_26,atom_feature_vector_27,atom_feature_vector_28,atom_feature_vector_29,atom_feature_vector_30,atom_feature_vector_31,atom_feature_vector_32,atom_feature_vector_33,atom_feature_vector_34,atom_feature_vector_35,atom_feature_vector_36,atom_feature_vector_37,atom_feature_vector_38,atom_feature_vector_39,atom_feature_vector_40,atom_feature_vector_41,atom_feature_vector_42,atom_feature_vector_43,atom_feature_vector_44,atom_feature_vector_45,atom_feature_vector_46,atom_feature_vector_47,atom_feature_vector_48,atom_feature_vector_49,atom_feature_vector_50,atom_feature_vector_51,atom_feature_vector_52,atom_feature_vector_53,atom_feature_vector_54,atom_feature_vector_55,atom_feature_vector_56,atom_feature_vector_57,atom_feature_vector_58,atom_feature_vector_59,atom_feature_vector_60,atom_feature_vector_61,atom_feature_vector_62,atom_feature_vector_63,atom_feature_vector_64
237,112587,112587,2,2,H7 C5 N3 O1,dsgdb9_126059,195.512,7.0,0.7006432414054871,-0.581717312335968,-1.0807234048843384,-9.1060791015625,-0.1080649048089981,-0.1357304453849792,-0.0271510072052478,0.1030193865299224,-0.0393490120768547,-0.3183189928531647,0.044069156050682,0.089441105723381,0.0039200778119266,-0.244165301322937,0.006225855089724,-0.1988819688558578,0.2256980538368225,0.006472717039287,-0.0604386329650878,0.0158823281526565,-0.4586908221244812,-0.3496108651161194,-0.0751280710101127,-0.0295651461929082,0.1513151973485946,-0.080396756529808,0.0832738578319549,-0.3451676666736603,0.1673353314399719,-0.0045440145768225,0.1349350661039352,-0.1151163056492805,0.2934400141239166,-0.0453601032495498,2.1706442832946777,-0.1510094702243805,0.0251466818153858,0.1482056379318237,-0.1700632274150848,-0.0480838157236576,-0.150274783372879,-0.0122839957475662,0.1874539256095886,-0.0656629279255867,-0.0955407619476318,-0.1030622646212577,0.0162407644093036,0.1401188373565673,0.3714708983898163,0.1099578291177749,-0.0208728685975074,-0.1672446280717849,-0.0433466844260692,-0.013467788696289,0.069844551384449,-0.0346737205982208,0.093196228146553,0.1157416999340057,-0.0246571376919746,0.1353515833616256,0.0822079628705978,0.1169821470975875,-0.1203166022896766,0.1146588772535324,0.0333770327270031,-0.1342965066432953,0.0301201771944761,0.0247462838888168
311,47521,47521,5,5,H9 C7 N1 O1,dsgdb9_042978,196.5715,7.0,0.7700986266136169,3.476857185363769,-0.5768283009529114,-9.38420295715332,-0.079264722764492,-0.1121917963027954,-0.0319440439343452,0.0843349322676658,-0.0631889998912811,-0.3344383835792541,0.0431360974907875,0.0274225622415542,0.0079384772107005,-0.2419448643922805,0.0009759180247783,-0.2057802677154541,0.1460992693901062,0.0742442905902862,-0.0517217405140399,0.0270848385989666,-0.5069062113761902,-0.2170499563217163,-0.1079135835170745,0.065141886472702,0.1114079877734184,-0.066400796175003,0.0866040885448455,-0.3394660651683807,0.1996387690305709,-0.0004755528643727,0.1344869881868362,-0.1248629093170166,0.2702702283859253,-0.0397903434932231,2.4136972427368164,-0.2496702224016189,0.0821590274572372,0.1877778172492981,-0.1685436367988586,0.0757166147232055,-0.1887535899877548,-0.0189024209976196,0.2177764624357223,-0.069714717566967,-0.1027122139930725,-0.0962936878204345,0.0521374866366386,0.1439020335674286,0.2966687083244324,0.0780541077256202,-0.0438311994075775,-0.177324429154396,-0.0697319731116294,-0.0138768926262855,0.0837457701563835,-0.008737463504076,0.0793175995349884,0.2160155177116394,-0.0294677726924419,0.1455053240060806,0.1299746632575988,0.1009945943951606,-0.1210294440388679,0.1942965537309646,0.0324885584414005,-0.1839139610528946,0.0312709584832191,0.03091936185956
353,30373,30373,2,2,H6 C6 N2 O1,dsgdb9_027959,-38.1082,7.0,-1.1499778032302856,-0.6250023245811462,0.0463473312556743,-8.805098533630371,-0.0514509230852127,-0.0688901394605636,-0.3367768228054046,0.028228260576725,-0.0301531963050365,-0.2212290316820144,0.1175460368394851,-0.0493860282003879,-0.0048811994493007,-0.0771984308958053,-0.0055782292038202,-0.1444049477577209,0.1771970689296722,0.0706626251339912,-0.0609264597296714,-0.0098177986219525,-0.340025931596756,-0.3142941296100616,-0.1698917150497436,0.0961005389690399,0.2180459052324295,-0.0423069894313812,0.0674559697508812,-0.224531278014183,0.1717905849218368,0.0148994475603103,0.1430489718914032,-0.1057274341583252,0.1396331042051315,-0.0405007153749465,1.933517575263977,-0.3821921348571777,-0.127061516046524,0.1881689578294754,0.0101394914090633,0.0856441408395767,-0.2076145857572555,-0.0001985300332307,0.2252402901649475,-0.0712186247110366,-0.0932251662015914,-0.0356888063251972,-0.0262034852057695,0.1788118928670883,0.2284668385982513,0.1001044437289238,0.1221033036708831,-0.1209299936890602,-0.0457030534744262,0.0284732356667518,0.12880440056324,0.204515054821968,0.0791733711957931,0.3889710903167724,-0.0311973690986633,0.0997507348656654,0.2043281495571136,0.0786496624350547,-0.1253719478845596,0.1239559426903724,0.0292651243507862,-0.1377360224723816,0.0223695151507854,0.0281550660729408
457,89439,89439,1,1,H9 C5 N3 O1,dsgdb9_097237,-27.1951,7.0,-0.0266991592943668,-0.0121991401538252,0.081735722720623,-8.511181831359863,-0.0607112161815166,-0.1734084039926529,-0.3484444618225097,0.0905561074614524,-0.009024609811604,-0.1905579715967178,0.1353002190589904,-0.022007904946804,0.0989072620868682,-0.0806570276618003,0.0168083421885967,-0.1151159405708313,0.0328964442014694,-0.0187562368810176,-0.0708610936999321,-0.0070750988088548,-0.2868354320526123,-0.32652348279953,-0.1312119960784912,0.0235920064151287,0.2274800240993499,-0.0157185606658458,0.0194124020636081,-0.1906876116991043,0.2308686226606369,0.0750778466463089,0.1530750542879104,-0.1158769503235817,0.134522795677185,-0.0343772396445274,1.6410856246948242,-0.2572243511676788,-0.1424352675676345,0.1546474546194076,0.0152921862900257,0.1004676222801208,-0.2597940266132355,0.0455836355686187,0.1289489865303039,-0.0516607537865638,-0.0747598931193351,-0.0513385646045208,-0.0764116942882537,0.1498094797134399,0.3591116666793823,0.1239465475082397,0.1010027900338172,-0.1126953437924385,-0.0478581599891185,-0.0519494041800498,0.1273895502090454,0.1146615520119667,0.0471330024302005,0.227048859000206,-0.0422186590731143,0.0422874204814434,0.1278871595859527,0.187318742275238,-0.1256881803274154,0.1054005026817321,0.0314056240022182,-0.0634340941905975,0.0550744608044624,-0.0128830131143331
479,83017,83017,2,2,H10 C7 N2,dsgdb9_087593,193.7748,7.0,1.321824073791504,-0.5946269035339355,-0.1183921471238136,-8.768427848815918,-0.0957048833370208,-0.0963395312428474,0.0142188118770718,0.0932049006223678,-0.0609586983919143,-0.2464842349290847,0.0383476391434669,0.0170745626091957,0.0115509759634733,-0.1791151911020279,0.0007173810154199,-0.2244542092084884,0.1281803548336029,0.0509390830993652,-0.0522232800722122,0.0198423732072114,-0.508439302444458,-0.1418011784553527,-0.1322013884782791,0.0461419895291328,0.1210349053144455,-0.0693589225411415,0.0579318329691886,-0.2118014246225357,0.1739723533391952,-0.0006934059783816,0.1355921626091003,-0.1200662031769752,0.2934722602367401,-0.0247212667018175,2.081491470336914,-0.2700256705284118,0.0570840425789356,0.2282499372959137,-0.1387844383716583,0.0213864296674728,-0.0912543460726738,-0.0078497156500816,0.1856096982955932,-0.08867147564888,-0.0994607135653495,-0.0713781118392944,0.048172254115343,0.1373067200183868,0.2389511615037918,0.0886374861001968,-0.0525608658790588,-0.1784111112356186,-0.0610469691455364,-0.0219152960926294,0.0815983861684799,-0.0692791417241096,0.0462877266108989,0.1944192945957183,-0.0103884376585483,0.1145878732204437,0.1103346720337867,0.0938987955451011,-0.1203734874725341,0.0935596600174903,0.0374796092510223,-0.1987096071243286,0.0304214935749769,0.046734731644392
611,105167,105167,3,3,H10 C5 N2 O2,dsgdb9_122925,216.4924,7.0,-2.193365335464477,-0.1007372289896011,-1.1897783279418943,-9.243754386901855,-0.1122495830059051,-0.1790915429592132,-0.0616839453577995,0.0905487611889839,-0.0434623882174491,-0.3324733674526214,0.07828189432621,0.0351224243640899,0.0219401139765977,-0.2358908206224441,0.0492101833224296,-0.1728640496730804,0.1697556376457214,0.0484600327908992,-0.0530950166285038,0.0137340333312749,-0.4685992002487182,-0.3085849285125732,-0.0956330373883247,0.0075602903962135,0.1528600007295608,-0.0945982486009597,0.0438700057566165,-0.3616400361061096,0.1817234307527542,0.0401511862874031,0.1372791975736618,-0.1245991438627243,0.2982763350009918,-0.0609389171004295,2.3238794803619385,-0.1189704537391662,0.0584984049201011,0.1425410956144333,-0.1385730057954788,0.0211797282099723,-0.3030098974704742,-0.0101918336004018,0.2233989685773849,-0.0398999936878681,-0.0887003093957901,-0.0986319854855537,0.0247999802231788,0.1393134593963623,0.4426785111427307,0.1111441701650619,-0.0214793905615806,-0.1641896814107895,-0.0494643524289131,-0.0656309053301811,0.0935845375061035,0.0292523633688688,0.1246613189578056,-0.0013695387169718,-0.0357962995767593,0.1023050993680954,0.0789636224508285,0.0993998125195503,-0.1167170405387878,0.1486358791589737,0.0307797025889158,-0.1418840736150741,0.0256887692958116,0.0033232860732823
642,68081,68081,4,4,H9 C7 N1 O1,dsgdb9_066198,10.0064,7.0,1.275997757911682,-2.5402374267578125,0.1262709647417068,-8.578627586364746,-0.0731100589036941,-0.1858080476522445,-0.3404830992221832,0.0745850205421447,-0.019146965816617,-0.1780313402414322,0.0917123407125473,-0.0873736590147018,0.1048475578427314,-0.0673963204026222,0.0086843743920326,-0.1217880472540855,0.09965381026268,-0.0605924949049949,-0.0610783584415912,-0.0020676853600889,-0.423771321773529,-0.4715655744075775,-0.156407743692398,0.0758846774697303,0.2152658849954605,-0.0192615054547786,0.0193729810416698,-0.1569383293390274,0.1813234686851501,0.0710345432162284,0.1598387062549591,-0.1049137264490127,0.1549680531024933,-0.0240855123847723,1.6711721420288086,-0.3089361786842346,-0.1439461410045623,0.1845132261514663,0.0142582636326551,0.1616455763578415,-0.3022006452083587,0.0309765487909317,0.0879020690917968,-0.0524765662848949,-0.0827090814709663,-0.0906890630722045,-0.0766052305698394,0.1373875141143798,0.3179157972335815,0.1105233654379844,0.1046244204044342,-0.1153876557946205,-0.0651512742042541,-0.0723588392138481,0.1126639768481254,0.1142948865890502,0.0633660554885864,0.2490882724523544,-0.0506128966808319,0.058893334120512,0.1349165737628936,0.2062886953353881,-0.1272874623537063,0.1348181217908859,0.0312489587813615,-0.0612993165850639,0.0647245198488235,-0.0106069240719079
902,43002,43002,8,8,H9 C6 N3,dsgdb9_036044,236.6462,7.0,1.5546395778656006,4.214543342590332,-0.949195146560669,-8.629776954650879,-0.1272279769182205,-0.1531538069248199,0.0104046100750565,0.1211981028318405,-0.0627696067094802,-0.2498773485422134,0.0435290783643722,-0.0028828307986259,0.0071309120394289,-0.1919134110212326,0.0033262390643358,-0.1974664330482483,0.1255137026309967,0.0317529886960983,-0.0509057156741619,0.015019416809082,-0.4825401604175567,-0.1888860613107681,-0.1389539837837219,0.0212343409657478,0.1304852962493896,-0.0802005976438522,0.0350160971283912,-0.1450585573911667,0.1565173268318176,0.0331768840551376,0.1336685419082641,-0.1256592124700546,0.3414757847785949,-0.0416243411600589,2.038738250732422,-0.204158067703247,0.0647866278886795,0.1902369707822799,-0.0980961769819259,0.0177106261253356,-0.1429518908262252,0.0073414910584688,0.1485012769699096,-0.0683691352605819,-0.1098300665616989,-0.0664869397878646,0.0411627888679504,0.1296447068452835,0.2502350807189941,0.1137901172041893,-0.0616648942232131,-0.1783453524112701,-0.0709521248936653,-0.0660679712891578,0.0914978086948394,-0.0820582881569862,0.0421198010444641,0.1085789576172828,-0.0116867646574974,0.0813287645578384,0.0706987157464027,0.1239854544401168,-0.1184606924653053,0.0813712924718856,0.0364260077476501,-0.1926334798336029,0.0382083319127559,0.0233628712594509
948,14020,14020,6,6,H12 C6 N2,dsgdb9_017351,230.6879,7.0,3.1413207054138184,-0.0730465725064277,2.282869815826416,-8.259737014770508,-0.1114744991064071,-0.2214716225862503,-0.2349893897771835,0.0823221802711486,-0.011343072168529,-0.0160342920571565,0.0227820724248886,-0.0221386328339576,0.0190893933176994,-0.0842012912034988,0.0070048570632934,-0.208571657538414,0.1939746886491775,-0.0011431003222241,-0.0487532615661621,-0.0038730287924408,-0.4524414241313934,-0.3639304637908935,-0.1334888190031051,0.0219153463840484,0.1599438786506652,-0.0809617042541503,-0.0444797165691852,-0.2758914232254028,0.3292539119720459,0.0659311339259147,0.1694148033857345,-0.1290120035409927,0.3407531380653381,-0.0412552990019321,1.6327499151229858,-0.1484659761190414,-0.1866964697837829,0.2033666670322418,-0.0216316599398851,0.019107237458229,-0.4633146226406097,0.0303786247968673,0.1057425066828727,-0.0379074029624462,-0.2257275283336639,-0.1239449754357338,-0.0646673887968063,0.1473322063684463,0.2954810559749603,0.1154249161481857,-0.034938134253025,-0.1157919988036155,-0.0380906499922275,-0.1205460876226425,0.1147255599498748,-0.000241077505052,0.1600122153759002,-0.137906864285469,-0.07305558770895,0.133677065372467,-0.0260548591613769,0.1449915766716003,-0.1260393559932708,0.0573656260967254,0.0358310565352439,-0.107097141444683,0.042673859745264,-0.055201306939125
983,9391,9391,7,7,H9 C5 N1 O2,dsgdb9_010192,-37.5408,7.0,-1.38963520526886,-2.8314127922058105,2.269320011138916,-8.016478538513184,-0.0557741522789001,-0.0874759182333946,-0.5421190857887268,0.0544754564762115,-0.0934085920453071,-0.3446583449840545,0.1133069321513176,-0.1595643162727356,0.2799154818058014,0.0014384370297193,-0.0205385703593492,-0.0829158201813697,-0.0259779393672943,0.0435764491558074,-0.218484878540039,0.0171640943735837,-0.4092186987400055,-0.0089483465999364,-0.1717659533023834,0.0646287649869918,0.2420960217714309,-0.0735208317637443,0.0230797119438648,0.1055056899785995,0.1513224244117736,0.1061242520809173,0.1597127765417099,-0.1138056069612503,0.1136761158704757,-0.0081786252558231,1.4054402112960815,-0.2885669469833374,-0.0572544671595096,0.2709200382232666,0.0650060698390007,0.253400057554245,-0.4477319717407226,0.0440241396427154,-0.0817496329545974,-0.0343104936182498,0.0294826924800872,-0.0579989179968833,-0.0821639597415924,0.1393480747938156,0.1064309775829315,0.110886812210083,0.1287761479616165,-0.1123611405491828,-0.0702615603804588,-0.0457821376621723,0.0834606811404228,0.2442460060119629,-0.0190672930330038,0.0255808029323816,-0.0299725588411092,0.0748802796006202,0.1940937340259552,0.1033803597092628,-0.1230906471610069,0.2994692325592041,0.0277581736445426,-0.0686317607760429,0.0432720370590686,0.0175328981131315
