,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,molcule_formula,dsgdb_idx,nmr_shift,atomic_number,x,y,z,energy,atom_feature_vector_1,atom_feature_vector_2,atom_feature_vector_3,atom_feature_vector_4,atom_feature_vector_5,atom_feature_vector_6,atom_feature_vector_7,atom_feature_vector_8,atom_feature_vector_9,atom_feature_vector_10,atom_feature_vector_11,atom_feature_vector_12,atom_feature_vector_13,atom_feature_vector_14,atom_feature_vector_15,atom_feature_vector_16,atom_feature_vector_17,atom_feature_vector_18,atom_feature_vector_19,atom_feature_vector_20,atom_feature_vector_21,atom_feature_vector_22,atom_feature_vector_23,atom_feature_vector_24,atom_feature_vector_25,atom_feature_vector_26,atom_feature_vector_27,atom_feature_vector_28,atom_feature_vector_29,atom_feature_vector_30,atom_feature_vector_31,atom_feature_vector_32,atom_feature_vector_33,atom_feature_vector_34,atom_feature_vector_35,atom_feature_vector_36,atom_feature_vector_37,atom_feature_vector_38,atom_feature_vector_39,atom_feature_vector_40,atom_feature_vector_41,atom_feature_vector_42,atom_feature_vector_43,atom_feature_vector_44,atom_feature_vector_45,atom_feature_vector_46,atom_feature_vector_47,atom_feature_vector_48,atom_feature_vector_49,atom_feature_vector_50,atom_feature_vector_51,atom_feature_vector_52,atom_feature_vector_53,atom_feature_vector_54,atom_feature_vector_55,atom_feature_vector_56,atom_feature_vector_57,atom_feature_vector_58,atom_feature_vector_59,atom_feature_vector_60,atom_feature_vector_61,atom_feature_vector_62,atom_feature_vector_63,atom_feature_vector_64
436,34979,34979,4,4,H5 C4 N3 O2,dsgdb9_027849,163.8136,8.0,-2.238168716430664,-2.808932542800904,-0.0226678606122732,-7.788686275482178,-0.0359167642891407,0.0238981992006301,-0.0317702665925025,0.0193051025271415,-0.0814832001924514,-0.4565929174423218,-0.1143803521990776,0.0931607112288475,-0.1321112066507339,-0.1401507556438446,0.0401242412626743,0.0311307273805141,0.1875575482845306,-0.0160195007920265,-0.0192734654992818,-0.0489068292081356,0.0935077518224716,-0.028656555339694,0.0675033256411552,-6.43506646156311e-05,0.1998987346887588,0.0107726119458675,0.0003431960940361,-0.1247090175747871,0.0078299790620803,-0.1033306643366813,-0.0839443355798721,-0.045148842036724,0.0485850237309932,-0.0166769437491893,1.7017003297805786,-0.4629098176956177,0.2723215222358703,-0.0821534469723701,-0.1559727936983108,-0.0927954465150833,-0.3117778301239013,-0.0414975136518478,0.0841802954673767,-0.0757501423358917,0.1432093232870102,0.0178081803023815,0.0827753171324729,-0.056647453457117,0.1448071002960205,0.0868143886327743,-0.1106581538915634,-0.0271704941987991,-0.1435097157955169,-0.070347711443901,0.0896463394165039,0.1978871971368789,0.0804430320858955,0.5462024211883545,-0.0793349295854568,0.0422216206789016,0.1355700641870498,0.0344270318746566,-0.0316983126103878,0.1634375154972076,-0.0105252023786306,-0.0883889198303222,0.0252982433885335,-0.0052206190302968
474,25229,25229,5,5,H6 C7 O1,dsgdb9_019671,232.1502,8.0,2.160745143890381,1.6385458707809448,1.1063297986984253,-7.1504225730896,-0.0672725290060043,0.0190716180950403,0.0451830737292766,-0.0217171926051378,-0.0055933250114321,-0.161379188299179,-0.1485341489315033,0.2481577694416046,-0.1697348654270172,-0.0653398558497428,0.0006617108592763,-0.0171881932765245,0.2579467594623565,-0.040421150624752,0.0086507592350244,-0.0424786359071731,-0.0489683263003826,-0.2731878459453583,0.0393005535006523,0.0105839297175407,0.2151763886213302,0.0032072868198156,-0.0801391080021858,-0.4049579203128814,0.0880239605903625,-0.1226526722311973,-0.0512066148221492,-0.0761496871709823,0.064128465950489,-0.03559410572052,1.092077136039734,-0.4605478346347809,0.0307258181273937,0.0288935508579015,-0.006542932242155,-0.1241200640797615,-0.5374079346656799,-0.0454755574464798,0.0329477861523628,-0.013138199225068,-0.0416530296206474,-0.0491283386945724,0.0601088181138038,-0.0212212707847356,0.0559158697724342,0.0779398828744888,-0.0125965103507041,-0.010624336078763,-0.0558888465166091,-0.0939650312066078,0.0508324392139911,0.3468273282051086,0.1336780041456222,0.2441074252128601,0.0052682124078273,0.0744953602552414,0.0219750273972749,0.0538900680840015,-0.0392122864723205,0.0444013848900795,0.0079014701768755,-0.109194815158844,0.0370658673346042,-0.0082826847210526
507,156156,156156,0,0,H8 C6 O3,dsgdb9_113430,303.6271,8.0,0.0063253198750317,1.3177982568740845,-0.7998510599136353,-7.661913871765137,-0.0856651067733764,-0.026985865086317,0.04606344550848,0.0409324578940868,-0.1136284172534942,-0.3838024139404297,-0.1193209215998649,0.1370018273591995,-0.1064073890447616,-0.1244885027408599,0.0541749745607376,0.0101203760132193,0.1196075826883316,-0.0437009260058403,-0.0256059076637029,-0.0535420887172222,0.0543316379189491,-0.1629233956336975,0.0590181611478328,0.0074062310159206,0.1945565938949585,0.0054963678121566,-0.0347055979073047,-0.1967319250106811,0.0231218449771404,-0.063285082578659,-0.0748708099126815,-0.0677880942821502,0.0241431724280118,-0.0183668620884418,1.6172144412994385,-0.322231113910675,0.2545298337936401,-0.1063838526606559,-0.155118927359581,-0.1333266943693161,-0.4660109579563141,-0.0150937419384717,0.067088209092617,-0.0658933147788047,0.1630522012710571,-0.0062822471372783,0.0814482048153877,-0.0563572160899639,0.2463573366403579,0.0871947556734085,-0.0750213712453842,-0.0309528745710849,-0.10576893389225,-0.0829275548458099,0.0756660252809524,0.1675596684217453,0.0787493959069252,0.2831688523292541,-0.0841021984815597,0.070358507335186,0.0569127909839153,0.1477143615484237,-0.0300320405513048,0.1053913980722427,-0.0130409011617302,-0.0635988190770149,0.0530257672071456,-0.0021460284478962
622,129126,129126,8,8,H8 C6 N2 O1,dsgdb9_096817,273.8893,8.0,-0.62190842628479,-2.905942440032959,-0.9267463684082032,-7.732906341552734,-0.0881962925195694,-0.0141948210075497,0.0279727131128311,0.028547465801239,-0.1214645206928253,-0.4027407169342041,-0.1242639422416687,0.1666142791509628,-0.1295152455568313,-0.1512068659067154,0.0375518947839736,0.0088848797604441,0.133049190044403,-0.0361231118440628,-0.0339964032173156,-0.0297092720866203,0.0236899256706237,-0.1278512179851532,0.070459246635437,-0.0087199099361896,0.1858297288417816,0.0058957170695066,-0.0285922568291425,-0.1801623404026031,-0.0261643305420875,-0.0603891536593437,-0.0699141919612884,-0.070829838514328,0.070476084947586,-0.0083241835236549,1.5012173652648926,-0.3730040788650512,0.2559183835983276,-0.0969898700714111,-0.1494823992252349,-0.0834399685263633,-0.4786150157451629,-0.0378828421235084,0.0668328255414962,-0.0700937807559967,0.1480765789747238,-0.0151275256648659,0.0709627568721771,-0.0671726092696189,0.2051717489957809,0.0773267969489097,-0.0941135436296463,-0.0330166220664978,-0.1133546456694603,-0.0568876191973686,0.0521630868315696,0.2355562597513198,0.0699280351400375,0.4094226658344269,-0.0711788609623909,0.0678279995918273,0.0825720056891441,0.0978099182248115,-0.0313435085117816,0.1072961539030075,-0.0018690737197175,-0.0815865844488143,0.061130478978157,-0.0036984856706112
707,149543,149543,7,7,H9 C6 N1 O2,dsgdb9_109288,-60.1928,8.0,-3.2896077632904053,-3.606366395950317,0.4715268015861511,-7.222423076629639,-0.0438704341650009,0.0395146086812019,-0.3345147371292114,-0.0197174325585365,0.004765816964209,-0.3056449294090271,-0.0861658155918121,0.0649176687002182,0.03987517952919,-0.0115160420536994,0.0115198614075779,0.0248733982443809,0.1652254462242126,-0.0270929038524627,-0.044058546423912,-0.0453531965613365,0.1008427217602729,-0.046899277716875,0.0288091227412223,0.0018765609711408,0.2466348707675933,0.0343889221549034,0.0016044545918703,-0.1019250079989433,0.0471932962536811,-0.1052881181240081,-0.0605480447411537,-0.0435111075639724,-0.0874430239200592,0.0046422528102993,1.2713943719863892,-0.5063056349754333,0.1021322980523109,0.0084499288350343,0.0130962748080492,0.0142993386834859,-0.213497593998909,-0.0045494460500776,-0.0255494229495525,-0.0433333925902843,0.1616780161857605,0.0239664148539304,0.0339897722005844,-0.0040234345942735,0.1311265081167221,0.0822025686502456,-0.0269748475402593,0.0140111083164811,-0.0970648750662803,-0.0608097538352012,0.0844833254814148,0.1839753091335296,0.047233298420906,0.1648651361465454,-0.0618625357747077,0.030468862503767,0.1826454252004623,0.0285400934517383,-0.0339584611356258,0.1305695325136184,-0.0160350073128938,-0.0552978366613388,0.0192156378179788,-0.0034828651696443
914,136952,136952,1,1,H11 C6 N1 O2,dsgdb9_101418,285.1386,8.0,-0.0906754210591316,0.0162930600345134,-0.0662475526332855,-7.326572895050049,-0.0885743424296379,-0.0378901623189449,-0.1914835423231125,-0.0164045561105012,0.0101409144699573,-0.1719796359539032,-0.1289976835250854,0.1563030481338501,-0.1410641968250274,-0.0631041005253791,0.0459726974368095,0.0104572400450706,0.1821961104869842,-0.0602556057274341,0.0016761568840593,-0.0210122019052505,0.0559840947389602,-0.2286233454942703,0.0713424533605575,-0.0100953672081232,0.2630766928195953,0.0090613327920436,-0.0762506276369094,-0.4669817984104156,0.1404915452003479,-0.0251615773886442,-0.0445989780128002,-0.0569717921316623,0.0648350641131401,-0.0130040030926465,1.213327407836914,-0.2612796127796173,0.0135636758059263,-0.0778525248169899,-0.0578921064734458,-0.0389483049511909,-0.7467649579048157,-0.0102765895426273,0.0712494179606437,-0.0251777209341526,0.0182194523513317,-0.0419850684702396,-0.0071635954082012,-0.0065974853932857,0.1648762077093124,0.0806769505143165,-0.0068929642438888,0.017826858907938,-0.0397894307971,-0.1499013453722,0.060056522488594,0.3408021628856659,0.1217917054891586,-0.2267573922872543,-0.0928859636187553,0.0775113850831985,0.0121638039126992,0.2454201579093933,-0.0365753285586833,0.0020470544695854,-0.0153765473514795,-0.0501151494681835,0.0736129656434059,-0.0325421951711177
958,160475,160475,0,0,H11 C6 N1 O2,dsgdb9_116060,299.5359,8.0,-0.167547196149826,1.484955668449402,-0.0269371699541807,-7.744792938232422,-0.1052816435694694,-0.0253746956586837,0.0383944138884544,0.0381586141884326,-0.0685913413763046,-0.3982517123222351,-0.1300898492336273,0.1310392618179321,-0.1149073913693428,-0.1634715795516967,0.0420719049870967,0.0114490035921335,0.1416975557804107,-0.0511626303195953,-0.0377293154597282,-0.0262431297451257,0.0245772749185562,-0.1620869487524032,0.0729848891496658,0.0132080353796482,0.1923242211341858,0.001968546770513,-0.0328695625066757,-0.266373872756958,0.0456598177552223,-0.0677829980850219,-0.0772995799779892,-0.0552463717758655,0.014964509755373,-0.0126367770135402,1.5614566802978516,-0.3111665248870849,0.2472820878028869,-0.1020682901144027,-0.1968796700239181,-0.0832665860652923,-0.4974122941493988,-0.0358698964118957,0.0621050521731376,-0.0568272694945335,0.1669439077377319,0.0033778706565499,0.0843997448682785,-0.0508002303540706,0.253278523683548,0.0762916132807731,-0.0830855965614318,-0.0279507841914892,-0.1088870763778686,-0.0914990752935409,0.0802592933177948,0.1468926817178726,0.07925396412611,0.293012797832489,-0.0883389711380004,0.0597997233271598,0.0603387281298637,0.1665428578853607,-0.0318820960819721,0.1205739453434944,-0.014797355979681,-0.0631966665387153,0.0501100793480873,0.0037174501921981
1222,136302,136302,7,7,H15 C7 N1 O1,dsgdb9_101031,288.9586,8.0,-0.500804603099823,-2.3545191287994385,-1.9019252061843872,-7.326027393341064,-0.0918903574347496,-0.044130552560091,-0.2010501325130462,-0.0158633422106504,0.008163726888597,-0.1649476289749145,-0.1256607770919799,0.1564367860555648,-0.1435290575027465,-0.0652097463607788,0.0456177070736885,0.0130497477948665,0.1897770464420318,-0.0655201822519302,-0.0051831942982971,-0.00969575997442,0.0630020946264267,-0.221466451883316,0.073130264878273,0.0015608444809913,0.2588102221488952,0.0059710294008255,-0.0682040825486183,-0.4670348465442657,0.1254354417324066,-0.0203727278858423,-0.0415948368608951,-0.0583983398973941,0.0698952227830886,-0.0120800845324993,1.1828982830047607,-0.2518356144428253,0.0130421696230769,-0.076131522655487,-0.0674434229731559,-0.0302315652370452,-0.7778683304786682,-0.0129515770822763,0.0661735609173774,-0.0255949404090642,0.0170109067112207,-0.0485157817602157,-0.0184274427592754,-0.0072955954819917,0.1575253754854202,0.07963427901268,-0.0083143413066864,0.0166968684643507,-0.0294477269053459,-0.1502623409032821,0.0483556240797042,0.3529909253120422,0.1153213009238243,-0.2291550487279892,-0.0882272720336914,0.0777861773967742,0.0158727169036865,0.2266383171081543,-0.036302737891674,0.0017978101968765,-0.0116278789937496,-0.0517513267695903,0.0940765365958213,-0.0269419327378273
1284,84682,84682,4,4,H8 C7 O2,dsgdb9_064864,238.5757,8.0,1.3606761693954468,0.0365522392094135,0.762032151222229,-7.090754985809326,-0.0519831515848636,0.0459907948970794,0.0304716527462005,-0.060361661016941,0.0068331374786794,-0.1009683012962341,-0.1418781131505966,0.2986837029457092,-0.1828321367502212,-0.0474978610873222,0.0025009182281792,-0.0302849803119897,0.3249890208244324,-0.0290870517492294,-0.0014605382457375,-0.0184570997953414,-0.0194704681634902,-0.2503863573074341,0.0434686057269573,-0.0017120093107223,0.2064835727214813,-0.0057916697114706,-0.0349024645984172,-0.5266264081001282,0.0410656780004501,-0.1562894731760025,-0.0488913692533969,-0.0658530592918396,0.0336259342730045,-0.0093060117214918,1.1959153413772583,-0.4277663826942444,0.0179027393460273,0.0153208374977111,-0.0280691273510456,-0.332640677690506,-0.4662344455718994,-0.0517008267343044,0.0606381818652153,-0.0361802503466606,-0.036367479711771,-0.0542728900909423,0.0645888522267341,-0.0121550848707556,0.1118344888091087,0.0666506811976432,0.0050420388579368,0.0011120289564132,-0.0552348010241985,-0.10200896859169,0.0339507609605789,0.3229639530181885,0.1273389458656311,0.1763485521078109,0.0138794016093015,0.0638826489448547,0.0155343208461999,0.0174048580229282,-0.0386389344930648,0.0354263931512832,-0.0093426266685128,-0.1039580628275871,0.0184578131884336,0.0226853024214506
1406,106005,106005,5,5,H12 C7 O2,dsgdb9_081010,196.569,8.0,1.154021143913269,-1.8806231021881104,0.8332651257514954,-7.057639598846436,-0.0622564479708671,0.0454219542443752,0.0350307449698448,-0.0613602697849273,0.0120205264538526,-0.0072632245719432,-0.1032731086015701,0.3292195796966553,-0.1592862904071808,-0.0257337689399719,-0.0014118840917944,-0.0317143611609935,0.2891197502613067,-0.0359664522111415,-0.0033369744196534,-0.0074390014633536,-0.036981925368309,-0.2316768914461136,0.0314177423715591,0.0185166113078594,0.2083795666694641,-0.0027102883905172,-0.0608124919235706,-0.6089989542961121,0.0866786316037178,-0.1865018159151077,-0.0522852949798107,-0.0438913404941558,0.0271208900958299,-0.0041624987497925,1.1295429468154907,-0.4520570039749145,0.0179926212877035,0.0355404838919639,-0.0132160056382417,-0.3170852661132812,-0.4302955567836761,-0.0552169159054756,0.0115174185484647,-0.0172203760594129,-0.0349801927804946,-0.0358427315950393,0.0570625141263008,-0.0129473265260458,0.1350198239088058,0.0565450638532638,0.0166974663734436,0.0029658172279596,-0.061305645853281,-0.0852480679750442,0.0412287339568138,0.3234066367149353,0.117800548672676,0.2183690369129181,0.0302323475480079,0.0762714743614196,0.0211369283497333,-0.03012609295547,-0.0367409065365791,-0.0213973708450794,-0.0150587009266018,-0.111518383026123,0.0294793210923671,0.0554595366120338
