,atomic_symbol,compounds_name,fchl_mae,m3gnet_mae
0,H,Acyclovir,0,0.331084937
1,C,Acyclovir,8.1,3.453564349
2,N,Acyclovir,0,7.470674008
3,O,Acyclovir,0,8.338879708
4,F,Acyclovir,0,
5,H,Amantidine,0,0.216321881
6,C,Amantidine,4.2,3.176874508
7,N,Amantidine,0,0.581633657
8,O,Amantidine,0,
9,F,Amantidine,0,
10,H,Aminoglutethimide,0,0.278126263
11,C,Aminoglutethimide,3.4,5.354154353
12,N,Aminoglutethimide,0,2.707416486
13,O,Aminoglutethimide,0,3.760476439
14,F,Aminoglutethimide,0,
15,H,Aminophenazone,0,0.263639191
16,C,Aminophenazone,3.9,5.043316632
17,N,Aminophenazone,0,22.1469832
18,O,Aminophenazone,0,135.1197656
19,F,Aminophenazone,0,
20,H,Aspirin,0,0.74399735
21,C,Aspirin,3.1,5.104254391
22,N,Aspirin,0,
23,O,Aspirin,0,22.99332157
24,F,Aspirin,0,
25,H,Benzaldehyde,0,0.20415546
26,C,Benzaldehyde,1.9,2.834291682
27,N,Benzaldehyde,0,
28,O,Benzaldehyde,0,2.166822388
29,F,Benzaldehyde,0,
30,H,Benzocaine,0,0.153263686
31,C,Benzocaine,1.9,2.187226877
32,N,Benzocaine,0,1.08085283
33,O,Benzocaine,0,4.417233639
34,F,Benzocaine,0,
35,H,Brevicomin,0,0.260001248
36,C,Brevicomin,2.3,3.482820171
37,N,Brevicomin,0,
38,O,Brevicomin,0,8.214974483
39,F,Brevicomin,0,
40,H,Carvone,0,0.368016741
41,C,Carvone,3.4,6.322457999
42,N,Carvone,0,
43,O,Carvone,0,11.19107818
44,F,Carvone,0,
45,H,Cinnamaldehyde,0,0.317743872
46,C,Cinnamaldehyde,3.4,5.318829729
47,N,Cinnamaldehyde,0,
48,O,Cinnamaldehyde,0,12.54793996
49,F,Cinnamaldehyde,0,
50,H,Desflurane,0,2.687815535
51,C,Desflurane,53.3,9.965440253
52,N,Desflurane,0,
53,O,Desflurane,0,102.5925637
54,F,Desflurane,0,12.37019232
55,H,Dexmedetomidine,0,0.315195596
56,C,Dexmedetomidine,3.1,2.694966686
57,N,Dexmedetomidine,0,2.824578729
58,O,Dexmedetomidine,0,
59,F,Dexmedetomidine,0,
60,H,Diethylcarbamazine,0,0.225575568
61,C,Diethylcarbamazine,2.2,2.875151253
62,N,Diethylcarbamazine,0,7.212427188
63,O,Diethylcarbamazine,0,24.58965637
64,F,Diethylcarbamazine,0,
65,H,Dopamine,0,0.271713529
66,C,Dopamine,3.9,2.421740091
67,N,Dopamine,0,0.680695625
68,O,Dopamine,0,1.853456968
69,F,Dopamine,0,
70,H,Epinephrine,0,0.288709836
71,C,Epinephrine,3.3,4.169507912
72,N,Epinephrine,0,5.424599733
73,O,Epinephrine,0,9.816711231
74,F,Epinephrine,0,
75,H,Felbamate,0,0.259244734
76,C,Felbamate,2.9,2.267528243
77,N,Felbamate,0,5.830778819
78,O,Felbamate,0,8.62147842
79,F,Felbamate,0,
80,H,Fencamfamine,0,0.284240644
81,C,Fencamfamine,3.9,2.645622205
82,N,Fencamfamine,0,2.865886538
83,O,Fencamfamine,0,
84,F,Fencamfamine,0,
85,H,Fluorouracil,0,0.140905796
86,C,Fluorouracil,1.6,3.858403796
87,N,Fluorouracil,0,4.579404663
88,O,Fluorouracil,0,6.142298457
89,F,Fluorouracil,0,0.918075218
90,H,Frontalin,0,0.142427684
91,C,Frontalin,1.9,1.298915168
92,N,Frontalin,0,
93,O,Frontalin,0,10.20748465
94,F,Frontalin,0,
95,H,GABA,0,0.502925187
96,C,GABA,3.4,2.768988658
97,N,GABA,0,3.960984821
98,O,GABA,0,19.34740261
99,F,GABA,0,
100,H,Gabapentin,0,0.499103799
101,C,Gabapentin,2.2,2.046710312
102,N,Gabapentin,0,3.515604555
103,O,Gabapentin,0,31.09165686
104,F,Gabapentin,0,
105,H,Glutamate,0,0.907778485
106,C,Glutamate,3,1.230265499
107,N,Glutamate,0,5.579270381
108,O,Glutamate,0,21.36076786
109,F,Glutamate,0,
110,H,Guanadrel,0,0.228618321
111,C,Guanadrel,2.5,2.480549957
112,N,Guanadrel,0,9.012140227
113,O,Guanadrel,0,5.627180629
114,F,Guanadrel,0,
115,H,L_tyrosine,0,0.863272063
116,C,L_tyrosine,3.4,2.798008917
117,N,L_tyrosine,0,4.158704373
118,O,L_tyrosine,0,12.30890548
119,F,L_tyrosine,0,
120,H,Levetiracetam,0,0.194002729
121,C,Levetiracetam,2.3,1.504807247
122,N,Levetiracetam,0,4.433156181
123,O,Levetiracetam,0,9.695803867
124,F,Levetiracetam,0,
125,H,Memantin,0,0.215628043
126,C,Memantin,4.8,5.298756846
127,N,Memantin,0,0.22890963
128,O,Memantin,0,
129,F,Memantin,0,
130,H,Menadione,0,0.218975261
131,C,Menadione,5.4,4.3886063
132,N,Menadione,0,
133,O,Menadione,0,63.34433051
134,F,Menadione,0,
135,H,Menthol,0,0.185796741
136,C,Menthol,1.8,1.64658113
137,N,Menthol,0,
138,O,Menthol,0,7.49133756
139,F,Menthol,0,
140,H,Metaraminol,0,0.311600091
141,C,Metaraminol,4,2.598365162
142,N,Metaraminol,0,0.168480193
143,O,Metaraminol,0,4.778653271
144,F,Metaraminol,0,
145,H,Mexiletine,0,0.25462542
146,C,Mexiletine,2.8,3.916046764
147,N,Mexiletine,0,6.081850843
148,O,Mexiletine,0,7.243296085
149,F,Mexiletine,0,
150,H,Niacin,0,0.606798046
151,C,Niacin,3.3,1.861066704
152,N,Niacin,0,4.51093993
153,O,Niacin,0,20.33339384
154,F,Niacin,0,
155,H,Paracetamol,0,0.541306101
156,C,Paracetamol,3.7,4.079562547
157,N,Paracetamol,0,23.19183618
158,O,Paracetamol,0,2.670311291
159,F,Paracetamol,0,
160,H,Pregabalin,0,0.385807501
161,C,Pregabalin,1.1,1.863732141
162,N,Pregabalin,0,13.86395924
163,O,Pregabalin,0,24.17163356
164,F,Pregabalin,0,
165,H,Procaine,0,0.238304532
166,C,Procaine,2.8,2.666302568
167,N,Procaine,0,2.882142427
168,O,Procaine,0,8.998481918
169,F,Procaine,0,
170,H,Propofol,0,0.284137083
171,C,Propofol,3.4,2.681496337
172,N,Propofol,0,
173,O,Propofol,0,27.79715699
174,F,Propofol,0,
175,H,Rasagiline,0,0.351361991
176,C,Rasagiline,3.6,3.871684782
177,N,Rasagiline,0,1.671137013
178,O,Rasagiline,0,
179,F,Rasagiline,0,
180,H,Rimantadine,0,0.208080588
181,C,Rimantadine,3.5,2.905664505
182,N,Rimantadine,0,4.729151479
183,O,Rimantadine,0,
184,F,Rimantadine,0,
185,H,Theobromine,0,0.22361862
186,C,Theobromine,2.7,3.46114009
187,N,Theobromine,0,7.750472442
188,O,Theobromine,0,11.03665268
189,F,Theobromine,0,
